code,name,market,asset_type,sector,currency,is_watch,note,updated_at
600519,XD贵州茅,cn,stock,,CNY,1,,2026-06-27 00:35:12.122241
000858,五 粮 液,cn,stock,,CNY,1,,2026-06-27 00:35:12.123869
600036,招商银行,cn,stock,,CNY,1,,2026-06-27 00:35:12.124386
601318,中国平安,cn,stock,,CNY,1,,2026-06-27 00:35:12.124820
002594,比亚迪,cn,stock,,CNY,1,,2026-06-27 01:31:03.039988
002714,牧原股份,cn,stock,,CNY,1,,2026-06-27 21:03:37.428725
003816,中国广核,cn,stock,,CNY,1,,2026-06-27 21:35:23.642480
601919,XD中远海,cn,stock,,CNY,1,,2026-06-27 21:35:23.652557
000725,京东方Ａ,cn,stock,,CNY,1,,2026-06-27 21:35:23.659691
601899,XD紫金矿,cn,stock,,CNY,1,,2026-06-27 21:35:23.666485
600900,长江电力,cn,stock,,CNY,1,,2026-06-27 21:35:23.677469
000625,长安汽车,cn,stock,,CNY,1,,2026-06-27 21:35:23.683359
002236,大华股份,cn,stock,,CNY,1,,2026-06-27 21:35:23.689471
600886,国投电力,cn,stock,,CNY,1,,2026-06-27 22:40:34.535846
000333,美的集团,cn,stock,,CNY,1,,2026-06-28 11:52:40.181636
002027,分众传媒,cn,stock,,CNY,1,,2026-06-28 11:52:40.190574
002371,北方华创,cn,stock,,CNY,1,,2026-06-28 11:52:40.196733
002475,立讯精密,cn,stock,,CNY,1,,2026-06-28 11:52:40.202661
300059,东方财富,cn,stock,,CNY,1,,2026-06-28 11:52:40.207800
300308,中际旭创,cn,stock,,CNY,1,,2026-06-28 11:52:40.211722
300502,新易盛,cn,stock,,CNY,1,,2026-06-28 11:52:40.215644
300750,宁德时代,cn,stock,,CNY,1,,2026-06-28 11:52:40.220087
300760,迈瑞医疗,cn,stock,,CNY,1,,2026-06-28 11:52:40.224904
600030,中信证券,cn,stock,,CNY,1,,2026-06-28 11:52:40.230231
600276,恒瑞医药,cn,stock,,CNY,1,,2026-06-28 11:52:40.234829
600309,万华化学,cn,stock,,CNY,1,,2026-06-28 11:52:40.239317
600760,中航沈飞,cn,stock,,CNY,1,,2026-06-28 11:52:40.243794
600887,伊利股份,cn,stock,,CNY,1,,2026-06-28 11:52:40.248998
600941,中国移动,cn,stock,,CNY,1,,2026-06-28 11:52:40.253742
601012,隆基绿能,cn,stock,,CNY,1,,2026-06-28 11:52:40.258411
601138,工业富联,cn,stock,,CNY,1,,2026-06-28 11:52:40.262891
601166,兴业银行,cn,stock,,CNY,1,,2026-06-28 11:52:40.268011
601225,XD陕西煤,cn,stock,,CNY,1,,2026-06-28 11:52:40.272189
601857,XD中国石,cn,stock,,CNY,1,,2026-06-28 11:52:40.276214
601816,京沪高铁,cn,stock,,CNY,1,,2026-06-28 11:52:40.294823
603288,海天味业,cn,stock,,CNY,1,,2026-06-28 11:52:40.299143
603501,豪威集团,cn,stock,,CNY,1,,2026-06-28 11:52:40.303516
601088,中国神华,cn,stock,,CNY,1,,2026-06-28 11:52:40.307774
688041,海光信息,cn,stock,,CNY,1,,2026-06-28 11:52:40.311895
688111,金山办公,cn,stock,,CNY,1,,2026-06-28 11:52:40.316488
688981,中芯国际,cn,stock,,CNY,1,,2026-06-28 11:52:40.320946
002415,海康威视,cn,stock,,CNY,1,,2026-06-28 11:52:40.324919
601127,赛力斯,cn,stock,,CNY,1,,2026-06-28 11:52:40.337503
300024,机器人,cn,stock,,CNY,1,,2026-07-06 13:22:46.826298
600206,有研新材,cn,stock,,CNY,1,,2026-07-06 21:28:27.768772
