id,asset_code,ex_date,record_date,announce_date,per_share_cash,currency,source
1,600519,2026-06-26,,,28.02423,CNY,akshare:stock_fhps_detail_em
2,600519,2025-12-19,,,23.957,CNY,akshare:stock_fhps_detail_em
3,600519,2025-06-26,,,27.673,CNY,akshare:stock_fhps_detail_em
4,600519,2024-12-20,,,23.882,CNY,akshare:stock_fhps_detail_em
5,600519,2024-06-19,,,30.876,CNY,akshare:stock_fhps_detail_em
6,600519,2023-06-30,,,25.911,CNY,akshare:stock_fhps_detail_em
7,600519,2022-06-30,,,21.675,CNY,akshare:stock_fhps_detail_em
8,600519,2021-06-25,,,19.293,CNY,akshare:stock_fhps_detail_em
9,000858,2025-12-31,,,2.578,CNY,akshare:stock_fhps_detail_em
10,000858,2025-12-18,,,2.578,CNY,akshare:stock_fhps_detail_em
11,000858,2025-07-18,,,3.169,CNY,akshare:stock_fhps_detail_em
12,000858,2025-01-23,,,2.576,CNY,akshare:stock_fhps_detail_em
13,000858,2024-07-12,,,4.67,CNY,akshare:stock_fhps_detail_em
14,000858,2023-06-27,,,3.782,CNY,akshare:stock_fhps_detail_em
15,000858,2022-06-29,,,3.023,CNY,akshare:stock_fhps_detail_em
16,000858,2021-07-09,,,2.58,CNY,akshare:stock_fhps_detail_em
17,600036,2026-01-16,,,1.013,CNY,akshare:stock_fhps_detail_em
18,600036,2025-12-31,,,1.003,CNY,akshare:stock_fhps_detail_em
19,600036,2025-07-11,,,2.0,CNY,akshare:stock_fhps_detail_em
20,600036,2024-07-11,,,1.972,CNY,akshare:stock_fhps_detail_em
21,600036,2023-07-13,,,1.738,CNY,akshare:stock_fhps_detail_em
22,600036,2022-07-15,,,1.522,CNY,akshare:stock_fhps_detail_em
23,600036,2021-07-13,,,1.253,CNY,akshare:stock_fhps_detail_em
24,600036,2020-07-10,,,1.2,CNY,akshare:stock_fhps_detail_em
25,601318,2026-06-10,,,1.75,CNY,akshare:stock_fhps_detail_em
26,601318,2025-10-24,,,0.95,CNY,akshare:stock_fhps_detail_em
27,601318,2025-06-30,,,1.62,CNY,akshare:stock_fhps_detail_em
28,601318,2024-10-18,,,0.93,CNY,akshare:stock_fhps_detail_em
29,601318,2024-07-26,,,1.5,CNY,akshare:stock_fhps_detail_em
30,601318,2023-10-25,,,0.93,CNY,akshare:stock_fhps_detail_em
31,601318,2023-06-14,,,1.5,CNY,akshare:stock_fhps_detail_em
32,601318,2022-10-20,,,0.92,CNY,akshare:stock_fhps_detail_em
33,002594,2025-12-31,,,0.358,CNY,akshare:stock_fhps_detail_em
34,002594,2025-07-29,,,1.324667,CNY,akshare:stock_fhps_detail_em
35,002594,2024-07-29,,,3.097772,CNY,akshare:stock_fhps_detail_em
36,002594,2023-07-28,,,1.142,CNY,akshare:stock_fhps_detail_em
37,002594,2022-07-29,,,0.105,CNY,akshare:stock_fhps_detail_em
38,002594,2021-08-06,,,0.148,CNY,akshare:stock_fhps_detail_em
39,002594,2020-08-18,,,0.06,CNY,akshare:stock_fhps_detail_em
40,002594,2019-07-26,,,0.204,CNY,akshare:stock_fhps_detail_em
41,002714,2026-05-27,,,0.427,CNY,akshare:stock_fhps_detail_em
42,002714,2025-10-16,,,0.927521,CNY,akshare:stock_fhps_detail_em
43,002714,2025-06-26,,,0.574269,CNY,akshare:stock_fhps_detail_em
44,002714,2024-12-30,,,0.834793,CNY,akshare:stock_fhps_detail_em
45,002714,2023-07-13,,,0.738178,CNY,akshare:stock_fhps_detail_em
46,002714,2022-06-09,,,0.248023,CNY,akshare:stock_fhps_detail_em
47,002714,2021-06-03,,,1.043571,CNY,akshare:stock_fhps_detail_em
48,002714,2020-06-04,,,0.323529,CNY,akshare:stock_fhps_detail_em
49,003816,2025-12-31,,,0.086,CNY,akshare:stock_fhps_detail_em
50,003816,2025-07-03,,,0.095,CNY,akshare:stock_fhps_detail_em
51,003816,2024-07-10,,,0.094,CNY,akshare:stock_fhps_detail_em
52,003816,2023-07-07,,,0.087,CNY,akshare:stock_fhps_detail_em
53,003816,2022-07-07,,,0.084,CNY,akshare:stock_fhps_detail_em
54,003816,2021-07-08,,,0.08,CNY,akshare:stock_fhps_detail_em
55,003816,2020-07-10,,,0.076,CNY,akshare:stock_fhps_detail_em
56,601919,2026-06-26,,,0.44,CNY,akshare:stock_fhps_detail_em
57,601919,2025-10-24,,,0.56,CNY,akshare:stock_fhps_detail_em
58,601919,2025-06-25,,,1.03,CNY,akshare:stock_fhps_detail_em
59,601919,2024-10-10,,,0.52,CNY,akshare:stock_fhps_detail_em
60,601919,2024-06-20,,,0.23,CNY,akshare:stock_fhps_detail_em
61,601919,2023-12-20,,,0.51,CNY,akshare:stock_fhps_detail_em
62,601919,2023-06-28,,,1.39,CNY,akshare:stock_fhps_detail_em
63,601919,2022-12-14,,,2.01,CNY,akshare:stock_fhps_detail_em
64,000725,2026-06-18,,,0.056,CNY,akshare:stock_fhps_detail_em
65,000725,2025-06-25,,,0.05,CNY,akshare:stock_fhps_detail_em
66,000725,2024-06-19,,,0.03,CNY,akshare:stock_fhps_detail_em
67,000725,2023-06-07,,,0.061,CNY,akshare:stock_fhps_detail_em
68,000725,2022-05-30,,,0.21,CNY,akshare:stock_fhps_detail_em
69,000725,2021-06-04,,,0.1,CNY,akshare:stock_fhps_detail_em
70,000725,2020-07-06,,,0.02,CNY,akshare:stock_fhps_detail_em
71,000725,2019-05-31,,,0.03,CNY,akshare:stock_fhps_detail_em
