id,level,scope,factor,snap_date,raw_value,percentile,window_days,sample_size
1,stock,600036,margin_buy,2026-06-27,339519949.0,,250,0
2,market,MARKET,limit_chain,2026-06-27,6.0,,250,0
3,market,MARKET,limit_count,2026-06-27,60.0,,250,0
4,market,MARKET,margin_balance,2026-06-27,801602446146.0,,250,0
5,stock,562500,fund_flow_main,2026-06-27,17997688.0,,250,0
6,stock,562500,margin_buy,2026-06-27,49514379.0,,250,0
7,stock,601919,fund_flow_main,2026-06-27,-90999602.0,,250,0
8,stock,601919,margin_buy,2026-06-27,57936673.0,,250,0
9,stock,515450,fund_flow_main,2026-06-27,-9033437.0,,250,0
10,stock,515450,margin_buy,2026-06-27,20578853.0,,250,0
11,stock,588870,fund_flow_main,2026-06-27,5471347.0,,250,0
12,stock,601899,fund_flow_main,2026-06-27,5254784.0,,250,0
13,stock,601899,margin_buy,2026-06-27,656009963.0,,250,0
14,stock,600900,fund_flow_main,2026-06-27,-184865832.0,,250,0
15,stock,600900,margin_buy,2026-06-27,231335719.0,,250,0
16,stock,600519,fund_flow_main,2026-06-27,-52656848.0,,250,0
17,stock,600519,margin_buy,2026-06-27,399270757.0,,250,0
18,stock,000858,fund_flow_main,2026-06-27,1825893888.0,,250,0
19,stock,601318,fund_flow_main,2026-06-27,-181602912.0,,250,0
20,stock,601318,margin_buy,2026-06-27,887953862.0,,250,0
21,stock,510300,fund_flow_main,2026-06-27,187967008.0,,250,0
22,stock,510300,margin_buy,2026-06-27,163152430.0,,250,0
23,stock,510500,fund_flow_main,2026-06-27,251151696.0,,250,0
24,stock,510500,margin_buy,2026-06-27,154802983.0,,250,0
25,stock,600886,fund_flow_main,2026-06-27,39814253.0,,250,0
26,stock,600886,margin_buy,2026-06-27,25322295.0,,250,0
27,market,MARKET,limit_chain,2026-06-26,6.0,,250,0
28,market,MARKET,limit_count,2026-06-26,60.0,,250,0
29,market,MARKET,limit_chain,2026-06-25,5.0,,250,0
30,market,MARKET,limit_count,2026-06-25,86.0,,250,0
31,market,MARKET,limit_chain,2026-06-24,4.0,,250,0
32,market,MARKET,limit_count,2026-06-24,98.0,,250,0
33,market,MARKET,limit_chain,2026-06-23,5.0,,250,0
34,market,MARKET,limit_count,2026-06-23,96.0,,250,0
35,market,MARKET,limit_chain,2026-06-22,5.0,,250,0
36,market,MARKET,limit_count,2026-06-22,134.0,,250,0
37,market,MARKET,limit_count,2026-06-21,0.0,,250,0
38,market,MARKET,limit_count,2026-06-20,0.0,,250,0
39,market,MARKET,limit_count,2026-06-19,0.0,,250,0
40,market,MARKET,limit_chain,2026-06-18,4.0,,250,0
41,market,MARKET,limit_count,2026-06-18,91.0,,250,0
42,market,MARKET,limit_chain,2026-06-17,3.0,,250,0
43,market,MARKET,limit_count,2026-06-17,86.0,,250,0
44,market,MARKET,limit_chain,2026-06-28,6.0,,250,0
45,market,MARKET,limit_count,2026-06-28,60.0,,250,0
46,market,MARKET,margin_balance,2026-06-28,801602446146.0,,250,0
47,market,MARKET,breadth_up,2026-06-28,0.14321972443799855,,250,0
48,market,MARKET,breadth_down,2026-06-28,0.8477157360406091,,250,0
49,stock,600519,fund_flow_main,2026-06-28,-52656848.0,,250,0
50,stock,600519,margin_buy,2026-06-28,399270757.0,,250,0
51,stock,000858,fund_flow_main,2026-06-28,1825893888.0,,250,0
52,stock,600036,fund_flow_main,2026-06-28,-155222164.0,,250,0
53,stock,600036,margin_buy,2026-06-28,327916159.0,,250,0
54,stock,601318,fund_flow_main,2026-06-28,-181602912.0,,250,0
55,stock,601318,margin_buy,2026-06-28,887953862.0,,250,0
56,stock,510300,fund_flow_main,2026-06-28,187967008.0,,250,0
57,stock,510300,margin_buy,2026-06-28,163152430.0,,250,0
58,stock,510500,fund_flow_main,2026-06-28,251151696.0,,250,0
59,stock,510500,margin_buy,2026-06-28,154802983.0,,250,0
60,stock,562500,fund_flow_main,2026-06-28,17997688.0,,250,0
61,stock,562500,margin_buy,2026-06-28,49514379.0,,250,0
62,stock,601919,fund_flow_main,2026-06-28,-90999602.0,,250,0
63,stock,601919,margin_buy,2026-06-28,57936673.0,,250,0
64,stock,515450,fund_flow_main,2026-06-28,-9033437.0,,250,0
65,stock,515450,margin_buy,2026-06-28,20578853.0,,250,0
66,stock,588870,fund_flow_main,2026-06-28,5471347.0,,250,0
67,stock,601899,fund_flow_main,2026-06-28,5254784.0,,250,0
68,stock,601899,margin_buy,2026-06-28,656009963.0,,250,0
69,stock,600900,fund_flow_main,2026-06-28,-184865832.0,,250,0
70,stock,600900,margin_buy,2026-06-28,231335719.0,,250,0
71,stock,600886,fund_flow_main,2026-06-28,39814253.0,,250,0
72,stock,600886,margin_buy,2026-06-28,25322295.0,,250,0
73,stock,600030,fund_flow_main,2026-06-28,-218544592.0,,250,0
74,stock,600030,margin_buy,2026-06-28,904273239.0,,250,0
75,stock,600276,fund_flow_main,2026-06-28,-280056163.0,,250,0
76,stock,600276,margin_buy,2026-06-28,348746409.0,,250,0
77,stock,600309,fund_flow_main,2026-06-28,18209840.0,,250,0
78,stock,600309,margin_buy,2026-06-28,169783950.0,,250,0
79,stock,600760,fund_flow_main,2026-06-28,79892109.0,,250,0
80,stock,600760,margin_buy,2026-06-28,196478442.0,,250,0
81,stock,600887,fund_flow_main,2026-06-28,-21401759.0,,250,0
82,stock,600887,margin_buy,2026-06-28,53787234.0,,250,0
83,stock,600941,fund_flow_main,2026-06-28,-200466560.0,,250,0
84,stock,600941,margin_buy,2026-06-28,57850663.0,,250,0
85,stock,601012,fund_flow_main,2026-06-28,5008784.0,,250,0
86,stock,601012,margin_buy,2026-06-28,201746485.0,,250,0
87,stock,601138,fund_flow_main,2026-06-28,1004784912.0,,250,0
88,stock,601138,margin_buy,2026-06-28,1916559781.0,,250,0
89,stock,601166,fund_flow_main,2026-06-28,66572138.0,,250,0
90,stock,601166,margin_buy,2026-06-28,156428578.0,,250,0
91,stock,601225,fund_flow_main,2026-06-28,-84963496.0,,250,0
92,stock,601225,margin_buy,2026-06-28,29279807.0,,250,0
93,stock,601857,fund_flow_main,2026-06-28,4406964.0,,250,0
94,stock,601857,margin_buy,2026-06-28,97653342.0,,250,0
95,stock,601816,fund_flow_main,2026-06-28,-17889026.0,,250,0
96,stock,601816,margin_buy,2026-06-28,59470871.0,,250,0
97,stock,603288,fund_flow_main,2026-06-28,-29017368.0,,250,0
98,stock,603288,margin_buy,2026-06-28,51457903.0,,250,0
99,stock,603501,fund_flow_main,2026-06-28,19718052.0,,250,0
100,stock,603501,margin_buy,2026-06-28,193033098.0,,250,0
101,stock,601088,fund_flow_main,2026-06-28,-8453888.0,,250,0
102,stock,601088,margin_buy,2026-06-28,112642800.0,,250,0
103,stock,688041,fund_flow_main,2026-06-28,-246563488.0,,250,0
104,stock,688041,margin_buy,2026-06-28,1603929231.0,,250,0
105,stock,688111,fund_flow_main,2026-06-28,-95672393.0,,250,0
106,stock,688111,margin_buy,2026-06-28,248195553.0,,250,0
107,stock,688981,fund_flow_main,2026-06-28,-74910144.0,,250,0
108,stock,688981,margin_buy,2026-06-28,2114882746.0,,250,0
109,stock,512710,fund_flow_main,2026-06-28,175362655.0,,250,0
110,stock,512710,margin_buy,2026-06-28,33263940.0,,250,0
111,stock,601127,fund_flow_main,2026-06-28,-200295564.0,,250,0
112,stock,601127,margin_buy,2026-06-28,135347322.0,,250,0
113,sector,半导体,sector_flow,2026-06-28,-26207293440.0,,250,0
114,market,MARKET,limit_chain,2026-06-29,3.0,,250,0
115,market,MARKET,limit_count,2026-06-29,107.0,,250,0
116,market,MARKET,margin_balance,2026-06-29,801602446146.0,,250,0
117,market,MARKET,breadth_up,2026-06-29,0.44785053509885725,,250,0
118,market,MARKET,breadth_down,2026-06-29,0.5320152367132233,,250,0
119,stock,600519,fund_flow_main,2026-06-29,-52656848.0,,250,0
120,stock,600519,margin_buy,2026-06-29,399270757.0,,250,0
121,stock,000858,fund_flow_main,2026-06-29,1825893888.0,,250,0
122,stock,600036,fund_flow_main,2026-06-29,-155222164.0,,250,0
123,stock,600036,margin_buy,2026-06-29,327916159.0,,250,0
124,stock,601318,fund_flow_main,2026-06-29,-181602912.0,,250,0
125,stock,601318,margin_buy,2026-06-29,887953862.0,,250,0
126,stock,510300,fund_flow_main,2026-06-29,187967008.0,,250,0
127,stock,510300,margin_buy,2026-06-29,163152430.0,,250,0
128,stock,510500,fund_flow_main,2026-06-29,251151696.0,,250,0
129,stock,510500,margin_buy,2026-06-29,154802983.0,,250,0
130,stock,562500,fund_flow_main,2026-06-29,17997688.0,,250,0
131,stock,562500,margin_buy,2026-06-29,49514379.0,,250,0
132,stock,601919,fund_flow_main,2026-06-29,-90999602.0,,250,0
133,stock,601919,margin_buy,2026-06-29,57936673.0,,250,0
134,stock,515450,fund_flow_main,2026-06-29,-9033437.0,,250,0
135,stock,515450,margin_buy,2026-06-29,20578853.0,,250,0
136,stock,588870,fund_flow_main,2026-06-29,5471347.0,,250,0
137,market,MARKET,margin_balance,2023-09-22,858380764024.0,,250,0
138,market,MARKET,margin_balance,2023-09-21,857929859046.0,,250,0
139,market,MARKET,margin_balance,2023-09-20,858087110775.0,,250,0
140,market,MARKET,margin_balance,2023-09-19,859008656696.0,,250,0
141,market,MARKET,margin_balance,2023-09-18,859650891699.0,,250,0
142,market,MARKET,margin_balance,2023-09-15,857554307877.0,,250,0
143,market,MARKET,margin_balance,2023-09-14,856499943981.0,,250,0
144,market,MARKET,margin_balance,2023-09-13,856452393349.0,,250,0
145,market,MARKET,margin_balance,2023-09-12,853948365928.0,,250,0
146,market,MARKET,margin_balance,2023-09-11,850992029233.0,,250,0
147,market,MARKET,margin_balance,2023-09-08,838273233418.0,,250,0
148,market,MARKET,margin_balance,2023-09-07,840049387536.0,,250,0
149,market,MARKET,margin_balance,2023-09-06,842514260991.0,,250,0
150,market,MARKET,margin_balance,2023-09-05,840690600634.0,,250,0
151,market,MARKET,margin_balance,2023-09-04,839711633218.0,,250,0
152,market,MARKET,margin_balance,2023-09-01,836858158735.0,,250,0
153,market,MARKET,margin_balance,2023-08-31,838969191441.0,,250,0
154,market,MARKET,margin_balance,2023-08-30,839979606829.0,,250,0
155,market,MARKET,margin_balance,2023-08-29,838928692324.0,,250,0
156,market,MARKET,margin_balance,2023-08-28,834370518698.0,,250,0
157,market,MARKET,margin_balance,2023-08-25,829844500299.0,,250,0
158,market,MARKET,margin_balance,2023-08-24,834720394615.0,,250,0
159,market,MARKET,margin_balance,2023-08-23,834539350148.0,,250,0
160,market,MARKET,margin_balance,2023-08-22,837450026248.0,,250,0
161,market,MARKET,margin_balance,2023-08-21,836499822787.0,,250,0
162,market,MARKET,margin_balance,2023-08-18,836110093628.0,,250,0
163,market,MARKET,margin_balance,2023-08-17,838834535787.0,,250,0
164,market,MARKET,margin_balance,2023-08-16,837383092410.0,,250,0
165,market,MARKET,margin_balance,2023-08-15,837932580138.0,,250,0
166,market,MARKET,margin_balance,2023-08-14,838582514247.0,,250,0
167,market,MARKET,margin_balance,2023-08-11,839457780256.0,,250,0
168,market,MARKET,margin_balance,2023-08-10,843713394362.0,,250,0
169,market,MARKET,margin_balance,2023-08-09,843941785941.0,,250,0
170,market,MARKET,margin_balance,2023-08-08,845906818194.0,,250,0
171,market,MARKET,margin_balance,2023-08-07,845776670843.0,,250,0
172,market,MARKET,margin_balance,2023-08-04,844325745809.0,,250,0
173,market,MARKET,margin_balance,2023-08-03,843002018475.0,,250,0
174,market,MARKET,margin_balance,2023-08-02,840518642245.0,,250,0
175,market,MARKET,margin_balance,2023-08-01,838499195850.0,,250,0
176,market,MARKET,margin_balance,2023-07-31,837176179801.0,,250,0
177,market,MARKET,margin_balance,2023-07-28,831933939080.0,,250,0
178,market,MARKET,margin_balance,2023-07-27,831512393831.0,,250,0
179,market,MARKET,margin_balance,2023-07-26,831898985597.0,,250,0
180,market,MARKET,margin_balance,2023-07-25,832098312207.0,,250,0
181,market,MARKET,margin_balance,2023-07-24,831097253857.0,,250,0
182,market,MARKET,margin_balance,2023-07-21,832556557799.0,,250,0
183,market,MARKET,margin_balance,2023-07-20,835137234770.0,,250,0
184,market,MARKET,margin_balance,2023-07-19,838253660711.0,,250,0
185,market,MARKET,margin_balance,2023-07-18,838124666264.0,,250,0
186,market,MARKET,margin_balance,2023-07-17,838723908649.0,,250,0
187,market,MARKET,margin_balance,2023-07-14,839045943232.0,,250,0
188,market,MARKET,margin_balance,2023-07-13,840557707129.0,,250,0
189,market,MARKET,margin_balance,2023-07-12,841925221144.0,,250,0
190,market,MARKET,margin_balance,2023-07-11,844244024784.0,,250,0
191,market,MARKET,margin_balance,2023-07-10,844559705386.0,,250,0
192,market,MARKET,margin_balance,2023-07-07,844192519769.0,,250,0
193,market,MARKET,margin_balance,2023-07-06,846358239040.0,,250,0
194,market,MARKET,margin_balance,2023-07-05,846273454185.0,,250,0
195,market,MARKET,margin_balance,2023-07-04,845705233243.0,,250,0
196,market,MARKET,margin_balance,2023-07-03,844693165463.0,,250,0
197,market,MARKET,margin_balance,2023-06-30,843758547560.0,,250,0
198,market,MARKET,margin_balance,2023-06-29,846075858242.0,,250,0
199,market,MARKET,margin_balance,2023-06-28,845455555397.0,,250,0
200,market,MARKET,margin_balance,2023-06-27,846375984334.0,,250,0
201,market,MARKET,margin_balance,2023-06-26,846262788249.0,,250,0
202,market,MARKET,margin_balance,2023-06-21,847136562984.0,,250,0
203,market,MARKET,margin_balance,2023-06-20,853412548158.0,,250,0
204,market,MARKET,margin_balance,2023-06-19,852284501340.0,,250,0
205,market,MARKET,margin_balance,2023-06-16,851027942398.0,,250,0
206,market,MARKET,margin_balance,2023-06-15,851336153711.0,,250,0
207,market,MARKET,margin_balance,2023-06-14,851046333794.0,,250,0
208,market,MARKET,margin_balance,2023-06-13,850639604999.0,,250,0
209,market,MARKET,margin_balance,2023-06-12,850642437167.0,,250,0
210,market,MARKET,margin_balance,2023-06-09,849301051591.0,,250,0
211,market,MARKET,margin_balance,2023-06-08,850351912526.0,,250,0
212,market,MARKET,margin_balance,2023-06-07,851971846765.0,,250,0
213,market,MARKET,margin_balance,2023-06-06,853052483470.0,,250,0
214,market,MARKET,margin_balance,2023-06-05,856280880670.0,,250,0
215,market,MARKET,margin_balance,2023-06-02,855259863769.0,,250,0
216,market,MARKET,margin_balance,2023-06-01,858330817156.0,,250,0
217,market,MARKET,margin_balance,2023-05-31,857725483469.0,,250,0
218,market,MARKET,margin_balance,2023-05-30,857480588891.0,,250,0
219,market,MARKET,margin_balance,2023-05-29,856971464687.0,,250,0
220,market,MARKET,margin_balance,2023-05-26,857007186383.0,,250,0
221,market,MARKET,margin_balance,2023-05-25,858339248147.0,,250,0
222,market,MARKET,margin_balance,2023-05-24,858338201126.0,,250,0
223,market,MARKET,margin_balance,2023-05-23,857779348946.0,,250,0
224,market,MARKET,margin_balance,2023-05-22,859685112541.0,,250,0
225,market,MARKET,margin_balance,2023-05-19,861045196379.0,,250,0
226,market,MARKET,margin_balance,2023-05-18,862495571165.0,,250,0
227,market,MARKET,margin_balance,2023-05-17,861070584202.0,,250,0
228,market,MARKET,margin_balance,2023-05-16,860904342561.0,,250,0
229,market,MARKET,margin_balance,2023-05-15,861960611521.0,,250,0
230,market,MARKET,margin_balance,2023-05-12,859550286049.0,,250,0
231,market,MARKET,margin_balance,2023-05-11,863087109135.0,,250,0
232,market,MARKET,margin_balance,2023-05-10,863513498821.0,,250,0
233,market,MARKET,margin_balance,2023-05-09,862134440106.0,,250,0
234,market,MARKET,margin_balance,2023-05-08,860245549794.0,,250,0
235,market,MARKET,margin_balance,2023-05-05,854266076187.0,,250,0
236,market,MARKET,margin_balance,2023-05-04,856677501623.0,,250,0
237,market,MARKET,margin_balance,2023-04-28,851955976985.0,,250,0
238,market,MARKET,margin_balance,2023-04-27,856717566573.0,,250,0
239,market,MARKET,margin_balance,2023-04-26,858163837010.0,,250,0
240,market,MARKET,margin_balance,2023-04-25,861182966321.0,,250,0
241,market,MARKET,margin_balance,2023-04-24,866123249034.0,,250,0
242,market,MARKET,margin_balance,2023-04-21,866805029513.0,,250,0
