id,etf_code,snap_date,shares_outstanding,nav,net_inflow
1,510300,2026-06-28,,4.9012,
2,510500,2026-06-28,,8.8452,
3,159915,2026-06-28,,4.2097,
4,512100,2026-06-28,,3.478,
5,588000,2026-06-28,,2.1418,
6,512480,2026-06-28,,2.753,
7,512690,2026-06-28,,0.3873,
8,512010,2026-06-28,,0.3346,
9,515030,2026-06-28,,1.7738,
10,512800,2026-06-28,,0.7463,
11,510300,2026-06-29,,4.9012,
12,510500,2026-06-29,,8.8452,
13,159915,2026-06-29,,4.2097,
14,512100,2026-06-29,,3.478,
15,588000,2026-06-29,,2.1418,
16,512480,2026-06-29,,2.753,
17,512690,2026-06-29,,0.3873,
18,512010,2026-06-29,,0.3346,
19,515030,2026-06-29,,1.7738,
20,512800,2026-06-29,,0.7463,
21,510300,2026-06-30,,,
22,510500,2026-06-30,,,
23,159915,2026-06-30,,,
24,512100,2026-06-30,,,
25,588000,2026-06-30,,,
26,512480,2026-06-30,,,
27,512690,2026-06-30,,,
28,512010,2026-06-30,,,
29,515030,2026-06-30,,,
30,512800,2026-06-30,,,
