id,index_key,level,scope,snap_date,value,components,note
1,fear,stock,002594,2026-06-27,74.62,"{""volatility_pct"": 46.94, ""momentum_pct"": 1.34, ""amount_pct"": 94.54, ""pe_pct"": 19.55, ""pb_pct"": 27.55}",
2,greed,stock,002594,2026-06-27,35.75,"{""volatility_pct"": 46.94, ""momentum_pct"": 1.34, ""amount_pct"": 94.54, ""pe_pct"": 19.55, ""pb_pct"": 27.55}",
3,fear,stock,000001,2026-06-27,88.41,"{""volatility_pct"": 70.45, ""momentum_pct"": 6.05, ""amount_pct"": null, ""pe_pct"": 10.73, ""pb_pct"": 0.02}",
4,greed,stock,000001,2026-06-27,5.6,"{""volatility_pct"": 70.45, ""momentum_pct"": 6.05, ""amount_pct"": null, ""pe_pct"": 10.73, ""pb_pct"": 0.02}",
5,fear,stock,600036,2026-06-27,64.97,"{""volatility_pct"": 35.51, ""momentum_pct"": 5.58, ""amount_pct"": 89.55, ""margin_buy"": {""raw"": 339519949.0, ""pct"": null}}",
6,greed,stock,600036,2026-06-27,47.56,"{""volatility_pct"": 35.51, ""momentum_pct"": 5.58, ""amount_pct"": 89.55, ""margin_buy"": {""raw"": 339519949.0, ""pct"": null}}",
7,heat,stock,600036,2026-06-27,89.55,"{""volatility_pct"": 35.51, ""momentum_pct"": 5.58, ""amount_pct"": 89.55, ""margin_buy"": {""raw"": 339519949.0, ""pct"": null}}",
8,heat,stock,002594,2026-06-27,94.54,"{""volatility_pct"": 46.94, ""momentum_pct"": 1.34, ""amount_pct"": 94.54, ""pe_pct"": 19.55, ""pb_pct"": 27.55}",
9,fear,market,MARKET,2026-06-27,86.05,"{""volatility_pct"": 92.18, ""momentum_pct"": 20.08, ""amount_pct"": 51.8, ""limit_chain"": {""raw"": 6, ""pct"": null}, ""limit_count"": {""raw"": 60, ""pct"": null}, ""margin_balance"": {""raw"": 801602446146.0, ""pct"": null}}",
10,greed,market,MARKET,2026-06-27,35.94,"{""volatility_pct"": 92.18, ""momentum_pct"": 20.08, ""amount_pct"": 51.8, ""limit_chain"": {""raw"": 6, ""pct"": null}, ""limit_count"": {""raw"": 60, ""pct"": null}, ""margin_balance"": {""raw"": 801602446146.0, ""pct"": null}}",
11,heat,market,MARKET,2026-06-27,51.8,"{""volatility_pct"": 92.18, ""momentum_pct"": 20.08, ""amount_pct"": 51.8, ""limit_chain"": {""raw"": 6, ""pct"": null}, ""limit_count"": {""raw"": 60, ""pct"": null}, ""margin_balance"": {""raw"": 801602446146.0, ""pct"": null}}",
12,fear,stock,002714,2026-06-27,62.91,"{""volatility_pct"": 48.0, ""momentum_pct"": 42.48, ""amount_pct"": 94.92, ""pe_pct"": 53.76, ""pb_pct"": 0.14}",
13,greed,stock,002714,2026-06-27,47.82,"{""volatility_pct"": 48.0, ""momentum_pct"": 42.48, ""amount_pct"": 94.92, ""pe_pct"": 53.76, ""pb_pct"": 0.14}",
14,heat,stock,002714,2026-06-27,94.92,"{""volatility_pct"": 48.0, ""momentum_pct"": 42.48, ""amount_pct"": 94.92, ""pe_pct"": 53.76, ""pb_pct"": 0.14}",
15,fear,stock,003816,2026-06-27,54.63,"{""volatility_pct"": 74.81, ""momentum_pct"": 8.51, ""amount_pct"": 47.58, ""pe_pct"": 87.7, ""pb_pct"": 60.09}",
16,greed,stock,003816,2026-06-27,50.97,"{""volatility_pct"": 74.81, ""momentum_pct"": 8.51, ""amount_pct"": 47.58, ""pe_pct"": 87.7, ""pb_pct"": 60.09}",
17,heat,stock,003816,2026-06-27,47.58,"{""volatility_pct"": 74.81, ""momentum_pct"": 8.51, ""amount_pct"": 47.58, ""pe_pct"": 87.7, ""pb_pct"": 60.09}",
18,fear,stock,562500,2026-06-27,82.41,"{""volatility_pct"": 75.12, ""momentum_pct"": 10.3, ""amount_pct"": 76.72, ""fund_flow_main"": {""raw"": 17997688.0, ""pct"": null}, ""margin_buy"": {""raw"": 49514379.0, ""pct"": null}}",
19,greed,stock,562500,2026-06-27,43.51,"{""volatility_pct"": 75.12, ""momentum_pct"": 10.3, ""amount_pct"": 76.72, ""fund_flow_main"": {""raw"": 17997688.0, ""pct"": null}, ""margin_buy"": {""raw"": 49514379.0, ""pct"": null}}",
20,heat,stock,562500,2026-06-27,76.72,"{""volatility_pct"": 75.12, ""momentum_pct"": 10.3, ""amount_pct"": 76.72, ""fund_flow_main"": {""raw"": 17997688.0, ""pct"": null}, ""margin_buy"": {""raw"": 49514379.0, ""pct"": null}}",
21,fear,stock,601919,2026-06-27,62.61,"{""volatility_pct"": 46.17, ""momentum_pct"": 31.04, ""amount_pct"": 43.33, ""fund_flow_main"": {""raw"": -90999602.0, ""pct"": null}, ""margin_buy"": {""raw"": 57936673.0, ""pct"": null}, ""pe_pct"": 51.93, ""pb_pct"": 12.78}",
22,greed,stock,601919,2026-06-27,34.77,"{""volatility_pct"": 46.17, ""momentum_pct"": 31.04, ""amount_pct"": 43.33, ""fund_flow_main"": {""raw"": -90999602.0, ""pct"": null}, ""margin_buy"": {""raw"": 57936673.0, ""pct"": null}, ""pe_pct"": 51.93, ""pb_pct"": 12.78}",
23,heat,stock,601919,2026-06-27,43.33,"{""volatility_pct"": 46.17, ""momentum_pct"": 31.04, ""amount_pct"": 43.33, ""fund_flow_main"": {""raw"": -90999602.0, ""pct"": null}, ""margin_buy"": {""raw"": 57936673.0, ""pct"": null}, ""pe_pct"": 51.93, ""pb_pct"": 12.78}",
24,fear,stock,515450,2026-06-27,65.82,"{""volatility_pct"": 37.93, ""momentum_pct"": 6.29, ""amount_pct"": 95.0, ""fund_flow_main"": {""raw"": -9033437.0, ""pct"": null}, ""margin_buy"": {""raw"": 20578853.0, ""pct"": null}}",
25,greed,stock,515450,2026-06-27,50.65,"{""volatility_pct"": 37.93, ""momentum_pct"": 6.29, ""amount_pct"": 95.0, ""fund_flow_main"": {""raw"": -9033437.0, ""pct"": null}, ""margin_buy"": {""raw"": 20578853.0, ""pct"": null}}",
26,heat,stock,515450,2026-06-27,95.0,"{""volatility_pct"": 37.93, ""momentum_pct"": 6.29, ""amount_pct"": 95.0, ""fund_flow_main"": {""raw"": -9033437.0, ""pct"": null}, ""margin_buy"": {""raw"": 20578853.0, ""pct"": null}}",
27,fear,stock,000725,2026-06-27,34.94,"{""volatility_pct"": 98.63, ""momentum_pct"": 98.56, ""amount_pct"": 99.84, ""pe_pct"": 73.49, ""pb_pct"": 86.81}",
28,greed,stock,000725,2026-06-27,89.67,"{""volatility_pct"": 98.63, ""momentum_pct"": 98.56, ""amount_pct"": 99.84, ""pe_pct"": 73.49, ""pb_pct"": 86.81}",
29,heat,stock,000725,2026-06-27,99.84,"{""volatility_pct"": 98.63, ""momentum_pct"": 98.56, ""amount_pct"": 99.84, ""pe_pct"": 73.49, ""pb_pct"": 86.81}",
30,fear,stock,588870,2026-06-27,54.95,"{""volatility_pct"": 88.63, ""momentum_pct"": 78.72, ""amount_pct"": 91.2, ""fund_flow_main"": {""raw"": 5471347.0, ""pct"": null}}",
31,greed,stock,588870,2026-06-27,84.96,"{""volatility_pct"": 88.63, ""momentum_pct"": 78.72, ""amount_pct"": 91.2, ""fund_flow_main"": {""raw"": 5471347.0, ""pct"": null}}",
32,heat,stock,588870,2026-06-27,91.2,"{""volatility_pct"": 88.63, ""momentum_pct"": 78.72, ""amount_pct"": 91.2, ""fund_flow_main"": {""raw"": 5471347.0, ""pct"": null}}",
33,fear,stock,601899,2026-06-27,83.98,"{""volatility_pct"": 97.54, ""momentum_pct"": 0.37, ""amount_pct"": 92.06, ""fund_flow_main"": {""raw"": 5254784.0, ""pct"": null}, ""margin_buy"": {""raw"": 656009963.0, ""pct"": null}, ""pe_pct"": 1.62, ""pb_pct"": 59.64}",
34,greed,stock,601899,2026-06-27,38.42,"{""volatility_pct"": 97.54, ""momentum_pct"": 0.37, ""amount_pct"": 92.06, ""fund_flow_main"": {""raw"": 5254784.0, ""pct"": null}, ""margin_buy"": {""raw"": 656009963.0, ""pct"": null}, ""pe_pct"": 1.62, ""pb_pct"": 59.64}",
35,heat,stock,601899,2026-06-27,92.06,"{""volatility_pct"": 97.54, ""momentum_pct"": 0.37, ""amount_pct"": 92.06, ""fund_flow_main"": {""raw"": 5254784.0, ""pct"": null}, ""margin_buy"": {""raw"": 656009963.0, ""pct"": null}, ""pe_pct"": 1.62, ""pb_pct"": 59.64}",
36,fear,stock,600900,2026-06-27,56.48,"{""volatility_pct"": 50.71, ""momentum_pct"": 28.34, ""amount_pct"": 93.06, ""fund_flow_main"": {""raw"": -184865832.0, ""pct"": null}, ""margin_buy"": {""raw"": 231335719.0, ""pct"": null}, ""pe_pct"": 40.48, ""pb_pct"": 55.99}",
37,greed,stock,600900,2026-06-27,54.47,"{""volatility_pct"": 50.71, ""momentum_pct"": 28.34, ""amount_pct"": 93.06, ""fund_flow_main"": {""raw"": -184865832.0, ""pct"": null}, ""margin_buy"": {""raw"": 231335719.0, ""pct"": null}, ""pe_pct"": 40.48, ""pb_pct"": 55.99}",
38,heat,stock,600900,2026-06-27,93.06,"{""volatility_pct"": 50.71, ""momentum_pct"": 28.34, ""amount_pct"": 93.06, ""fund_flow_main"": {""raw"": -184865832.0, ""pct"": null}, ""margin_buy"": {""raw"": 231335719.0, ""pct"": null}, ""pe_pct"": 40.48, ""pb_pct"": 55.99}",
39,fear,stock,000625,2026-06-27,63.17,"{""volatility_pct"": 39.59, ""momentum_pct"": 10.73, ""amount_pct"": 11.22, ""pe_pct"": 64.68, ""pb_pct"": 11.51}",
40,greed,stock,000625,2026-06-27,24.54,"{""volatility_pct"": 39.59, ""momentum_pct"": 10.73, ""amount_pct"": 11.22, ""pe_pct"": 64.68, ""pb_pct"": 11.51}",
41,heat,stock,000625,2026-06-27,11.22,"{""volatility_pct"": 39.59, ""momentum_pct"": 10.73, ""amount_pct"": 11.22, ""pe_pct"": 64.68, ""pb_pct"": 11.51}",
42,fear,stock,002236,2026-06-27,72.97,"{""volatility_pct"": 33.6, ""momentum_pct"": 27.1, ""amount_pct"": 56.92, ""pe_pct"": 12.49, ""pb_pct"": 2.15}",
43,greed,stock,002236,2026-06-27,24.66,"{""volatility_pct"": 33.6, ""momentum_pct"": 27.1, ""amount_pct"": 56.92, ""pe_pct"": 12.49, ""pb_pct"": 2.15}",
44,heat,stock,002236,2026-06-27,56.92,"{""volatility_pct"": 33.6, ""momentum_pct"": 27.1, ""amount_pct"": 56.92, ""pe_pct"": 12.49, ""pb_pct"": 2.15}",
45,fear,stock,600519,2026-06-27,58.37,"{""volatility_pct"": 30.35, ""momentum_pct"": 13.61, ""amount_pct"": 68.88, ""fund_flow_main"": {""raw"": -52656848.0, ""pct"": null}, ""margin_buy"": {""raw"": 399270757.0, ""pct"": null}}",
46,greed,stock,600519,2026-06-27,41.24,"{""volatility_pct"": 30.35, ""momentum_pct"": 13.61, ""amount_pct"": 68.88, ""fund_flow_main"": {""raw"": -52656848.0, ""pct"": null}, ""margin_buy"": {""raw"": 399270757.0, ""pct"": null}}",
47,heat,stock,600519,2026-06-27,68.88,"{""volatility_pct"": 30.35, ""momentum_pct"": 13.61, ""amount_pct"": 68.88, ""fund_flow_main"": {""raw"": -52656848.0, ""pct"": null}, ""margin_buy"": {""raw"": 399270757.0, ""pct"": null}}",
48,fear,stock,000858,2026-06-27,75.93,"{""volatility_pct"": 20.27, ""momentum_pct"": 16.32, ""amount_pct"": 40.13, ""fund_flow_main"": {""raw"": 1825893888.0, ""pct"": null}, ""pe_pct"": 0.11, ""pb_pct"": 0.11}",
49,greed,stock,000858,2026-06-27,14.17,"{""volatility_pct"": 20.27, ""momentum_pct"": 16.32, ""amount_pct"": 40.13, ""fund_flow_main"": {""raw"": 1825893888.0, ""pct"": null}, ""pe_pct"": 0.11, ""pb_pct"": 0.11}",
50,heat,stock,000858,2026-06-27,40.13,"{""volatility_pct"": 20.27, ""momentum_pct"": 16.32, ""amount_pct"": 40.13, ""fund_flow_main"": {""raw"": 1825893888.0, ""pct"": null}, ""pe_pct"": 0.11, ""pb_pct"": 0.11}",
51,fear,stock,601318,2026-06-27,77.82,"{""volatility_pct"": 85.97, ""momentum_pct"": 1.27, ""amount_pct"": 94.27, ""fund_flow_main"": {""raw"": -181602912.0, ""pct"": null}, ""margin_buy"": {""raw"": 887953862.0, ""pct"": null}, ""pe_pct"": 26.2, ""pb_pct"": 47.21}",
52,greed,stock,601318,2026-06-27,42.24,"{""volatility_pct"": 85.97, ""momentum_pct"": 1.27, ""amount_pct"": 94.27, ""fund_flow_main"": {""raw"": -181602912.0, ""pct"": null}, ""margin_buy"": {""raw"": 887953862.0, ""pct"": null}, ""pe_pct"": 26.2, ""pb_pct"": 47.21}",
