run_id,strategy_id,strategy_name,start,end,days,total_return,annualized,max_drawdown,sharpe,trade_count,final_equity,benchmark_return,artifact,data_size,sha256,verdict
run-20260806-065221,small_cap_low_turnover,小盘低换手横截面(规模+流动性异象),2007-01-04,2026-07-21,4749,1191.76,14.54,66.56,0.65,1368,12917647.57,129.27,data/backtest/run-20260806-065221.json.gz,1083010,6dced0ded0886e8de7cc97ca66ca90a2e964a107836936321a85ea114494bdc9,
run-20260806-070228,low_beta_dividend,低贝塔红利横截面(防御+收入),2007-01-04,2026-07-21,4749,719.19,11.81,55.02,0.62,1304,8191873.19,129.27,data/backtest/run-20260806-070228.json.gz,779938,289f27b07cee1a307dd4940057dfe844d8a83e4638261463af719de42c9060e0,
run-20260806-071451,graham_defensive_value,格雷厄姆防御价值横截面(PE+PB+股息复合),2007-01-04,2026-07-21,4749,725.49,11.85,68.65,0.57,1995,8254911.51,129.27,data/backtest/run-20260806-071451.json.gz,980564,78f636dcf2228d0abfc5595e76153b04dc6baa9ed5dd116f951db22b16d7625f,
run-20260806-072621,anti_lottery_defensive,反彩票防御横截面(规避MAX+低波+低估),2007-01-04,2026-07-21,4749,639.0,11.2,63.47,0.56,3332,7390043.61,129.27,data/backtest/run-20260806-072621.json.gz,1250510,4c82c09e7429bd1179d63d06a85d01453294f2351a26e31b8b7f8d3da5c29db7,
run-20260806-073935,smart_beta_multi_factor,智能贝塔多因子横截面(分散因子暴露),2007-01-04,2026-07-21,4749,710.68,11.74,59.57,0.56,1970,8106811.26,129.27,data/backtest/run-20260806-073935.json.gz,1316101,2c3daf6d9b7979da34d87e7eb62a5f7f435e6389286e70e5cb19e2aaec37c0ea,
run-20260806-122744,low_beta_dividend,低贝塔红利横截面(防御+收入),2022-02-18,2026-08-04,1082,,,,,0,1000000.0,-1.08,data/backtest/run-20260806-122744.json.gz,10439,166a6bfed25eeda930e04d1fac5ca5630e346986e8a832aedc2be84d9667c5b4,
run-20260806-122846,low_beta_dividend,低贝塔红利横截面(防御+收入),2022-02-18,2026-08-04,1082,99.04,17.39,16.66,1.02,5,1990365.32,-1.08,data/backtest/run-20260806-122846.json.gz,99565,8fff9cc23a45eff0f9d7c0342a0aad8deba4e892f228e080af54805556d6121b,
run-tune-anti_lottery_defensive-full,anti_lottery_defensive,反彩票防御横截面(规避MAX+低波+低估),2007-01-04,2026-07-21,4749,639.0,11.2,63.47,0.56,3332,7390043.61,129.27,data/backtest/run-tune-anti_lottery_defensive-full.json.gz,1250530,c55053a36447a570676030bb6d290dd58630c854db01a0337afcaa0027ab561a,
run-tune-donchian_breakout_cross_section-full,donchian_breakout_cross_section,唐奇安突破横截面(通道突破+趋势确认),2007-01-04,2026-07-21,4749,-94.21,-14.03,97.95,-0.34,4303,57853.49,129.27,data/backtest/run-tune-donchian_breakout_cross_section-full.json.gz,2786643,1524e1258c9d300c7fe3f3425009f61d3c164e35c7c951c0e1f1ec7dfd6d41de,
run-tune-fifty_two_week_high_cross_section-full,fifty_two_week_high_cross_section,52周新高横截面(近高点+动量确认),2007-01-04,2026-07-21,4749,66.61,2.75,74.39,0.23,2283,1666101.76,129.27,data/backtest/run-tune-fifty_two_week_high_cross_section-full.json.gz,1151333,6a6779aa7426cdfaf92553f7e3aed60d572acf812eabfa31af7b157ecb23e999,
